id,title,category,capabilities,organization,format,local_path,source_url,direct_download_url,sha256,truth_class,use_for,notes
ATMOSPHERE-REFERENCE,U.S. Standard Atmosphere sea-level reference,reference_data,2.2,NASA,JSON,02_concept_design/2_2_reference_data/atmosphere_public_reference.json,https://ntrs.nasa.gov/api/citations/19760003955/downloads/19760003955.pdf,https://ntrs.nasa.gov/api/citations/19760003955/downloads/19760003955.pdf,e73b81ffe73cb47c46a9dc1d46dc9253ded2fba9a9a06bb825403e81ac36b261,published,2.2 sea-level air density pressure and temperature reference,Reference data only.
PROMPTS-JSON,End-to-end test prompts,end_to_end_prompt,"1.1;1.2;2.1;2.2",AI4MBSE demo,JSON,03_end_to_end_prompts/test_prompts.json,,,e90bec51539d0eeabcd2e21b47916f4d6615ff7b06f16969adc4a1db809658cd,demo_assumption,repeatable Tactical ISR MALE ISR and hard-constraint trade-off demonstrations,Test inputs; not aircraft facts.
PROMPTS-MD,End-to-end test prompts for operators,end_to_end_prompt,"1.1;1.2;2.1;2.2",AI4MBSE demo,Markdown,03_end_to_end_prompts/PROMPTS.md,,,f7e48cbb3cd023e0da0db84636b1141534d808d6ebf2820ad2a95793c3d91e86,demo_assumption,copy/paste demonstration instructions,Human-readable counterpart of PROMPTS-JSON.
TACTICAL-ENVELOPE,Tactical ISR fixed-wing indicator envelope,validation_fixture,"2.1;2.2",AI4MBSE demo,JSON,04_validation/tactical-isr-envelope.json,,,6e67c0f490387807cbe329fbe0fd749a8f73dfc452368988fd4e80871f2a2187,demo_assumption,reproducible Tactical ISR candidate generation and hard-bound checks,Mass field is explicitly a non-payload proxy.
EVALUATOR-PROFILE,Development evaluator profile,validation_fixture,2.2,AI4MBSE demo,JSON,04_validation/development-evaluator-profile.json,,,d24616466d834130004eaf0b5b3c9c43b9bceb409ab662ed4645dde3c14b0e0e,demo_assumption,development-only evaluator approval gate,Empty approvals intentionally keep built-in evaluators non-formal.
VALIDATION-REPORT,public-real-v1 validation report,validation_report,"1.1;1.2;2.1;2.2",AI4MBSE demo,Markdown,04_validation/VALIDATION_REPORT.md,,,22b85482f8d2c6894e2bf71a1349d91b0285e789d8fa2bcc18dcf1c050e38dfa,demo_assumption,execution evidence and data-integrity interpretation,Reports successful and limited checks.
PUBLIC-REAL-V1-DB,public-real-v1 SQLite runtime database,runtime_database,"1.1;1.2;2.1;2.2",AI4MBSE demo,SQLite,../../workspaces/public-real-v1/.rflp/model.db,,,,demo_assumption,persisted scheme import requirements workbench MBSE views and 2.1/2.2 evidence,Contains 9 schemes 5 candidates and 15 evaluations; runtime hash intentionally omitted.
BUNDLE-README,Supplied public real test bundle README,catalog_metadata,"1.1;1.2;2.1;2.2",Supplied AI4MBSE public real test bundle,Markdown,00_catalog/bundle_README.md,,,,7e1574be037a77aa31cdf046a9f23144d0764fee7be8a3d771ef4d0745d60a11,official_original,original bundle interpretation and recommended test order,Copied without modification from the supplied bundle.
BUNDLE-SHA256,Supplied bundle SHA-256 manifest,catalog_metadata,"1.1;1.2;2.1;2.2",Supplied AI4MBSE public real test bundle,TXT,04_validation/bundle_SHA256SUMS.txt,,,,c4578cb5b0a246d274d6a1d145a8933e93aef4b8cf36bb17cf831ff5552d9562,official_original,verification of copied bundle data files,Copied without modification from the supplied bundle.
BUNDLE-VALIDATION,Supplied bundle validation report,validation_report,"2.1;2.2",Supplied AI4MBSE public real test bundle,TXT,04_validation/bundle_VALIDATION_REPORT.txt,,,,e4bb0822f1f77a63891ea62eb2c30f442308d51d024223312f40f430bf5127d3,official_original,baseline bundle validation comparison,Copied without modification from the supplied bundle.
